epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.146,0.82515,2.39745,0.9341,0.00441,0.94427,0.52813,0.46208,0.62825,3.3111,0.83918,0.000410539,0.000410539,0.000410539
2,787.153,0.81447,1.38939,0.92231,0.58961,0.75273,0.70096,0.59419,0.73633,1.60826,0.91337,0.000810827,0.000810827,0.000810827
3,1181.15,0.8032,1.15578,0.93122,0.94762,0.90795,0.95007,0.81959,0.69266,1.1323,0.88625,0.00119462,0.00119462,0.00119462
4,1560.03,0.79709,1.00844,0.92539,0.9462,0.90751,0.95657,0.83618,0.70082,0.95808,0.90037,0.00117575,0.00117575,0.00117575
5,1940.87,0.76661,0.89421,0.92127,0.93519,0.93565,0.95203,0.84084,0.70883,0.88065,0.90739,0.001151,0.001151,0.001151
6,2287.86,0.76548,0.81641,0.92846,0.93548,0.92021,0.95527,0.85796,0.65562,0.79154,0.87646,0.00112625,0.00112625,0.00112625
7,2626.64,0.73841,0.74892,0.9049,0.95108,0.91425,0.95146,0.8532,0.70908,0.78272,0.91029,0.0011015,0.0011015,0.0011015
8,3008.02,0.73231,0.73032,0.91384,0.90873,0.94613,0.95297,0.83463,0.6554,0.74226,0.88092,0.00107675,0.00107675,0.00107675
9,3370.51,0.67972,0.6645,0.89306,0.94251,0.92665,0.95132,0.87867,0.6053,0.63946,0.859,0.001052,0.001052,0.001052
10,3715.87,0.67965,0.6607,0.90095,0.93289,0.92146,0.95747,0.85388,0.63824,0.64278,0.88365,0.00102725,0.00102725,0.00102725
11,4056.43,0.68621,0.6433,0.89808,0.95038,0.91669,0.95101,0.86968,0.61399,0.59834,0.87664,0.0010025,0.0010025,0.0010025
12,4400.65,0.66473,0.59806,0.89648,0.9677,0.92841,0.96241,0.89245,0.62805,0.61391,0.87549,0.00097775,0.00097775,0.00097775
13,4744.41,0.65814,0.58334,0.89114,0.96421,0.92713,0.96222,0.89738,0.59886,0.59162,0.87435,0.000953,0.000953,0.000953
14,5090.04,0.65432,0.57206,0.88999,0.93936,0.93184,0.96075,0.88106,0.57515,0.57587,0.86506,0.00092825,0.00092825,0.00092825
15,5435.66,0.636,0.56552,0.89065,0.95748,0.93766,0.95685,0.86161,0.62591,0.55332,0.87996,0.0009035,0.0009035,0.0009035
16,5783.91,0.623,0.54084,0.88442,0.96233,0.92288,0.96666,0.8859,0.59186,0.55141,0.86692,0.00087875,0.00087875,0.00087875
17,6147.31,0.63108,0.54082,0.88382,0.9294,0.93385,0.95655,0.89171,0.60088,0.54852,0.88708,0.000854,0.000854,0.000854
18,6521.48,0.61825,0.53496,0.88417,0.95263,0.92152,0.96501,0.88199,0.56758,0.50303,0.86962,0.00082925,0.00082925,0.00082925
19,6872.1,0.63533,0.54504,0.88888,0.9498,0.92021,0.958,0.88919,0.60765,0.58059,0.87934,0.0008045,0.0008045,0.0008045
20,7243.77,0.60556,0.51399,0.87472,0.94402,0.93278,0.96028,0.90157,0.55767,0.49464,0.85782,0.00077975,0.00077975,0.00077975
21,7601.54,0.60731,0.49971,0.8815,0.95328,0.92642,0.96137,0.90666,0.53142,0.5302,0.84894,0.000755,0.000755,0.000755
22,7972.1,0.60544,0.5072,0.87996,0.95045,0.93634,0.94847,0.88834,0.5684,0.51472,0.86349,0.00073025,0.00073025,0.00073025
23,8311.99,0.60302,0.48817,0.87704,0.95433,0.92228,0.96213,0.90347,0.54674,0.52122,0.85871,0.0007055,0.0007055,0.0007055
24,8650.52,0.58564,0.47414,0.87115,0.96246,0.92558,0.96006,0.89401,0.56823,0.50055,0.87186,0.00068075,0.00068075,0.00068075
25,8989.3,0.5894,0.47189,0.86931,0.96659,0.92641,0.96437,0.90854,0.54672,0.4924,0.84632,0.000656,0.000656,0.000656
26,9328.65,0.58786,0.46466,0.86593,0.9685,0.91572,0.96511,0.91366,0.53245,0.49296,0.85901,0.00063125,0.00063125,0.00063125
27,9676.38,0.57198,0.46845,0.87023,0.95973,0.92504,0.96006,0.89657,0.5327,0.48607,0.85594,0.0006065,0.0006065,0.0006065
28,10018.8,0.54223,0.45553,0.85316,0.96408,0.92438,0.96148,0.89379,0.57935,0.50045,0.87023,0.00058175,0.00058175,0.00058175
29,10368.7,0.53957,0.44818,0.85767,0.95906,0.92945,0.96061,0.89744,0.53822,0.49236,0.86262,0.000557,0.000557,0.000557
30,10718.4,0.5421,0.44235,0.85933,0.95896,0.91931,0.96711,0.91501,0.54132,0.49947,0.86002,0.00053225,0.00053225,0.00053225
31,11063,0.54375,0.43716,0.85747,0.97253,0.92466,0.9624,0.90914,0.5313,0.47194,0.85472,0.0005075,0.0005075,0.0005075
32,11405.1,0.53867,0.42758,0.85443,0.96264,0.91901,0.96083,0.8999,0.5281,0.47827,0.85722,0.00048275,0.00048275,0.00048275
33,11757.5,0.53733,0.4352,0.85883,0.95499,0.9294,0.96547,0.91208,0.53896,0.46803,0.85149,0.000458,0.000458,0.000458
34,12106.5,0.52531,0.41753,0.85457,0.96755,0.92596,0.96767,0.90827,0.50959,0.44873,0.84957,0.00043325,0.00043325,0.00043325
35,12451.6,0.51682,0.4153,0.85264,0.97138,0.92049,0.96091,0.91431,0.51819,0.46264,0.85827,0.0004085,0.0004085,0.0004085
36,12797.1,0.51033,0.40176,0.84957,0.95751,0.92006,0.96562,0.91471,0.50589,0.44086,0.85044,0.00038375,0.00038375,0.00038375
37,13144.2,0.50003,0.39208,0.847,0.94659,0.9299,0.96176,0.91651,0.50286,0.45008,0.85061,0.000359,0.000359,0.000359
38,13493.7,0.50609,0.39901,0.84307,0.95012,0.92325,0.96403,0.90676,0.52678,0.44234,0.8521,0.00033425,0.00033425,0.00033425
39,13839.3,0.5026,0.39098,0.8437,0.96303,0.91979,0.95576,0.90339,0.49614,0.45111,0.83964,0.0003095,0.0003095,0.0003095
40,14195.5,0.48966,0.38481,0.84272,0.95525,0.92052,0.95619,0.90893,0.49677,0.45053,0.8472,0.00028475,0.00028475,0.00028475
41,14547.7,0.45377,0.36183,0.82418,0.95488,0.93052,0.95449,0.90762,0.48834,0.44879,0.84403,0.00026,0.00026,0.00026
42,14895,0.44887,0.35128,0.82814,0.96229,0.93356,0.95703,0.91096,0.50096,0.45026,0.8521,0.00023525,0.00023525,0.00023525
43,15250.7,0.45127,0.34382,0.83002,0.96481,0.9352,0.96097,0.90918,0.50619,0.4559,0.84995,0.0002105,0.0002105,0.0002105
44,15612,0.44003,0.33249,0.82225,0.95765,0.93332,0.9609,0.91187,0.49767,0.45204,0.85035,0.00018575,0.00018575,0.00018575
45,15968.4,0.42529,0.32233,0.825,0.95127,0.92263,0.96264,0.89686,0.49515,0.44201,0.8453,0.000161,0.000161,0.000161
46,16313.8,0.4181,0.3197,0.81962,0.95476,0.9242,0.96653,0.91569,0.49452,0.43841,0.84875,0.00013625,0.00013625,0.00013625
47,16653.3,0.41006,0.31439,0.81219,0.9494,0.93152,0.96527,0.91785,0.48896,0.43921,0.85165,0.0001115,0.0001115,0.0001115
48,16998.8,0.40606,0.31229,0.80972,0.94563,0.92921,0.96589,0.91832,0.49295,0.44467,0.84688,8.675e-05,8.675e-05,8.675e-05
49,17347.5,0.41193,0.30608,0.8133,0.94943,0.93359,0.96589,0.91875,0.47849,0.43204,0.844,6.2e-05,6.2e-05,6.2e-05
50,17685.6,0.39968,0.29666,0.80923,0.94722,0.93547,0.96555,0.91991,0.47542,0.43212,0.84387,3.725e-05,3.725e-05,3.725e-05
