enemy_density,projectile_rate,danger_score,cluster_score,difficulty_pressure,difficulty
0.07626227164461644,0.9203719083608474,0.013544914929168874,6,1.501699236987473,1.478802674749192
0.06496247632647628,0.705193164110456,0.039616671393706865,0,0.23897002640982104,0.27525337771752845
0.07301233501175716,0.9207925019921569,0.026657956464398617,5,1.303473042394054,1.3154282955647503
0.060480125773446664,0.4659303556662898,0.01287742653952924,1,0.3604986297398268,0.31550684352494396
0.010566258866409968,0.2284126401694456,0.010582176364450165,4,0.8738101049836468,0.8623193934467036
0.06737464627688838,0.5526001236873634,0.019088869684733993,1,0.3898102049262223,0.3451637448131973
0.06090887591217291,0.2740166237741485,0.02431147019239372,8,1.7053399439443753,1.7515574111639196
0.04187100126251015,0.6087982000737449,0.040090103729033114,1,0.40321878114668314,0.3691436760771477
0.016867998687123843,0.7559081681475607,0.02411625018663198,1,0.43665610008773176,0.39779052086837774
0.03035333691070293,0.5416695806495249,0.017614993021610098,3,0.7751298738723904,0.7519868648395839
0.023668261846930654,0.8079040596561936,0.01333828771444667,0,0.2521393539938266,0.25252547858923574
0.01916753924775882,0.6430610936073851,0.024055524528785652,5,1.2034796947623003,1.1547625238037444
0.09642026130313107,0.10301586782666121,0.07697962752082879,10,2.0752267642431033,2.0792708760839287
0.07618002745480085,0.3621327912700315,0.07439979060428648,8,1.7463738037383072,1.7582237064954895
0.07803379714784377,0.605860864462201,0.04337266555511415,2,0.6138429315940364,0.6209591040522044
0.03928172156978186,0.3926608487929857,0.010894560260758895,5,1.131761683160982,1.1801999321877163
0.035965803959212395,0.4073755671459013,0.01072291345785777,9,1.9351469940231056,1.9808985831719994
0.09807419398028175,0.5746811049117704,0.023079337211247542,0,0.20644245710986514,0.16389008449530776
0.0837415808106599,0.6133737487031785,0.014227084343989364,1,0.4119800157229494,0.4456138106416396
0.06795889504196932,0.7883743986357734,0.02154071497530602,5,1.261208131098384,1.2368606331624434
0.051879916911393785,0.7451253153060832,0.024645335112589473,8,1.844030636687761,1.8661145579100091
0.04176959328801339,0.49580625274712475,0.02533749908518145,1,0.3663402536275777,0.3541480674893465
